CD3,CD4,CD5,CL_NR,TR1,TR2,TR3,TR4,DI1,DI2,DI3,DI4,EC1,EC2,EC3,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10,IP11,IP13,IP14,PI1,PI2,PI3,CI1,CI2,CI3,CI4,CI5,CI6,CI7,CI8,CI9,TI1,TI2,TI3,TI4,TI5,TI6,TI7,TI8,TI9,TI10,TI11,TI12,BS1,BS2,BS3,BS4,BS5,BS6,CM0,CM1,CM2,CM3,CM4,FP1,FP2,FP3
2002,20,1,2,6,7,4,7,7,7,1,7,7,6,4,7,7,3,2,3,3,7,1,4,4,1,5,70,7,7,1,3,5,4,5,1,2,5,7,7,4,6,5,1,5,2,7,1,7,4,1,6,1,5,1,1,1,1,1,2,7,5,1,6,5,5
2007,6,1,2,6,7,3,7,4,7,1,3,4,7,2,7,7,4,7,7,1,7,3,7,7,6,5,50,4,4,1,7,7,1,7,1,1,1,7,7,7,7,7,1,1,7,7,1,7,7,7,7,7,6,7,7,7,1,1,1,7,6,2,4,4,6
2001,12,1,2,5,6,5,4,4,7,1,5,3,6,2,6,6,5,4,2,3,5,6,3,3,4,3,20,7,6,2,7,6,6,1,1,4,4,7,5,5,6,5,2,4,3,5,2,5,4,3,6,3,6,5,6,6,5,1,3,5,4,2,3,2,2
2008,10,1,2,5,6,4,6,7,7,1,5,4,6,3,7,7,7,5,2,2,4,5,4,6,7,5,70,6,7,4,3,5,5,3,1,6,2,7,7,7,4,7,1,2,4,4,1,5,4,2,4,4,4,6,6,6,5,1,7,1,7,7,5,4,7
1985,350,1,2,2,3,3,6,6,5,1,5,5,6,5,5,5,4,4,6,1,5,6,4,6,2,3,15,6,6,1,5,4,6,2,1,5,2,5,5,5,6,4,1,3,5,6,1,6,4,2,6,2,5,7,7,6,2,1,6,6,5,2,4,4,6
1993,6,1,2,5,5,3,5,6,5,1,4,6,6,4,3,5,3,5,1,1,2,1,5,2,1,3,3,1,2,1,1,2,1,3,1,4,2,7,4,4,2,4,1,3,3,5,1,5,2,6,5,1,1,1,1,1,4,1,6,2,6,5,5,5,3
2001,620,1,2,6,5,6,6,5,7,1,4,1,7,6,6,7,6,2,5,1,6,5,6,4,2,3,15,3,3,3,1,1,6,2,2,3,2,4,4,5,3,4,2,2,5,6,1,6,3,2,6,7,3,7,6,6,1,1,6,6,4,2,5,6,3
1994,19,1,2,6,6,3,6,6,7,1,7,6,2,5,7,7,6,7,2,1,7,5,2,4,2,5,60,5,5,3,4,5,4,7,1,1,1,7,6,7,7,5,2,2,6,7,1,7,7,2,7,3,6,5,5,6,2,1,2,6,6,1,6,6,6
1989,200,1,2,6,6,6,7,7,7,1,7,2,2,4,7,7,7,4,7,2,7,7,3,6,3,5,40,6,6,7,3,4,3,2,2,7,1,7,6,6,2,3,4,2,5,7,1,7,5,1,5,7,5,7,6,6,2,1,7,1,7,7,4,5,7
1972,238,1,2,5,6,4,5,7,6,2,5,3,6,4,6,7,5,6,7,4,6,4,6,5,2,3,55,5,4,2,5,6,5,6,1,4,5,7,6,5,3,5,2,5,6,5,2,6,4,2,6,6,5,6,5,5,2,1,1,7,5,1,3,3,6
1959,350,1,2,6,6,5,5,6,6,2,4,7,7,5,5,5,6,3,6,2,4,2,3,3,2,5,30,3,4,2,3,4,6,2,2,4,3,4,3,5,4,4,3,4,5,6,2,6,4,3,4,7,5,7,6,5,2,1,6,5,6,4,5,5,4
1996,39,1,2,6,6,5,6,7,7,2,6,6,6,5,5,5,5,6,6,5,3,5,5,5,2,5,70,5,4,5,4,5,2,6,1,5,3,5,6,6,6,5,2,3,5,5,3,6,4,3,6,7,6,7,5,6,2,1,5,5,6,5,5,3,6
2006,28,1,2,4,4,4,4,6,6,2,5,5,5,5,4,5,5,5,4,2,4,3,2,3,2,3,90,5,5,3,4,6,2,5,2,2,4,5,5,5,3,3,3,3,2,5,2,5,5,3,3,4,4,4,5,4,2,1,5,5,3,2,3,3,6
1968,280,1,2,3,4,2,6,5,6,2,6,2,5,4,5,6,5,6,5,6,3,2,2,5,2,3,5,2,2,2,5,6,2,7,2,3,3,6,4,3,2,4,2,2,6,6,2,6,5,2,4,6,5,7,5,3,6,1,4,4,4,6,5,4,5
2006,8,1,2,5,5,4,5,2,6,2,3,5,5,3,6,6,6,4,6,5,5,6,4,4,2,4,20,2,2,2,2,2,2,6,1,2,2,4,4,5,3,4,2,2,3,4,2,6,5,2,6,2,3,5,6,6,3,1,6,2,6,2,5,5,5
2006,2,1,2,6,5,2,6,7,7,1,6,1,6,6,5,7,2,6,7,7,6,7,6,6,2,3,30,6,7,4,6,7,6,1,1,4,2,6,6,6,1,6,1,1,6,2,1,1,4,6,6,4,5,1,1,1,3,1,2,4,7,4,6,6,6
2001,8,1,2,3,3,3,4,5,6,2,5,5,5,3,4,6,5,4,4,6,6,5,6,5,3,5,75,4,3,2,5,5,5,3,3,5,3,5,5,2,5,5,6,2,5,5,2,6,2,4,4,6,5,4,2,4,4,1,6,5,5,3,3,4,4
2000,2,1,2,6,5,3,5,7,7,1,6,1,4,2,4,5,5,6,5,4,7,6,5,3,1,5,80,2,2,2,2,2,1,7,2,1,4,4,5,6,5,5,4,2,2,7,1,7,7,2,4,2,2,1,1,1,1,1,6,4,5,2,4,4,4
2007,3,1,2,7,6,5,7,7,7,1,6,2,2,3,6,6,5,6,7,6,7,4,6,5,5,5,90,7,6,3,5,4,4,6,2,5,2,5,4,5,2,6,3,4,5,5,3,6,6,5,7,3,5,3,5,5,4,1,4,6,5,2,3,4,4
1952,1800,1,2,5,6,3,5,6,7,1,5,7,7,5,7,7,7,5,7,3,7,5,3,5,4,5,30,5,6,3,5,5,7,1,1,6,2,6,6,6,6,7,1,1,6,7,1,7,6,1,6,7,7,7,7,5,2,1,7,2,7,4,6,5,6
2000,25,1,2,6,6,3,7,3,5,2,2,6,4,4,5,7,5,7,7,2,2,1,7,7,1,2,20,7,2,2,3,2,1,6,1,1,2,6,4,6,7,7,1,6,2,7,1,7,6,1,7,1,7,7,7,7,1,1,2,7,3,1,6,6,5
1995,10,1,2,4,6,3,4,5,5,4,3,5,6,5,5,4,4,6,4,1,3,2,4,3,3,1,15,3,2,2,4,2,2,3,2,4,2,6,5,4,6,4,2,5,5,6,1,6,5,3,6,2,4,6,6,6,3,1,6,4,4,2,3,3,2
2000,32,1,2,5,6,4,5,6,7,1,7,6,5,4,7,7,7,7,7,5,7,6,7,7,7,5,25,7,7,4,7,5,3,3,1,6,2,5,6,6,7,6,1,2,6,5,1,5,6,4,5,3,5,2,2,6,5,1,6,2,7,5,4,4,4
1999,5,1,1,3,5,2,6,2,7,1,6,6,5,6,5,6,2,6,6,3,2,5,6,4,2,3,40,6,3,3,4,5,3,4,2,4,2,7,5,4,6,6,2,2,5,6,1,6,5,3,5,6,6,5,5,5,3,1,3,4,7,3,3,3,3
2001,75,1,1,5,7,3,7,7,7,1,6,4,6,4,7,7,7,2,7,1,6,5,5,7,5,5,60,2,2,2,3,5,7,1,1,2,2,5,4,4,5,7,2,2,7,7,1,7,6,5,7,7,5,7,7,7,2,1,7,1,7,6,7,7,7
1991,214,1,1,6,5,3,5,7,4,3,2,5,4,4,7,7,7,7,7,3,7,6,7,7,5,4,-77,6,7,5,7,7,7,1,1,7,1,5,5,5,7,5,1,5,7,7,1,7,6,2,6,7,7,7,7,7,1,1,7,2,7,5,8,8,8
2003,10,1,1,5,5,3,6,5,7,1,6,7,5,3,7,7,2,2,6,1,7,7,7,3,1,5,70,7,5,6,4,6,5,6,1,6,1,5,6,4,7,7,1,1,2,4,1,6,5,6,6,6,6,4,6,6,3,1,3,5,6,5,8,3,8
2007,-66,1,1,6,5,6,6,7,7,1,2,2,4,2,4,7,4,3,7,1,7,7,6,5,5,3,100,7,7,7,4,7,3,2,1,7,3,4,7,6,5,7,1,1,5,4,1,7,5,5,4,7,5,7,7,3,4,1,4,2,7,1,4,2,7
1963,64,1,1,6,6,5,6,4,5,1,4,6,6,6,7,6,5,6,5,1,4,4,3,6,2,3,10,5,4,7,6,6,1,2,1,4,2,6,6,6,5,5,3,4,5,6,1,6,6,2,6,7,6,6,7,6,1,1,5,4,7,2,3,3,5
1988,65,1,1,5,5,5,5,6,5,2,5,5,4,3,6,5,3,6,6,5,7,5,6,5,2,3,25,4,3,4,5,4,2,2,2,5,3,5,4,4,5,5,2,2,3,4,1,6,4,5,5,5,5,4,6,6,2,1,4,3,6,6,5,5,5
2006,11,1,1,8,8,8,8,7,7,1,7,2,2,1,7,3,2,3,5,1,7,5,7,5,6,3,70,7,3,2,4,7,5,3,1,5,2,7,5,5,6,5,1,1,7,3,1,5,5,2,6,5,5,7,7,4,5,1,7,2,6,7,2,2,7
1945,3600,1,1,6,7,5,6,7,7,2,6,1,7,7,7,7,7,5,6,6,7,6,7,7,1,5,20,7,6,4,7,5,7,1,1,6,2,6,6,6,5,6,2,2,6,7,2,6,5,1,7,8,2,7,7,6,2,1,7,7,7,2,8,8,6
1996,470,1,1,5,6,5,6,4,5,2,2,3,5,4,4,6,6,3,6,2,7,5,7,5,2,5,50,6,7,6,5,5,6,3,2,5,3,4,5,5,2,4,3,5,5,6,2,6,3,4,5,6,7,6,6,6,2,1,6,6,7,6,6,6,7
2001,4,1,2,7,7,6,7,7,5,2,4,6,3,3,7,7,7,3,7,3,6,7,6,5,1,3,80,6,7,4,7,7,2,2,1,6,1,6,7,7,6,7,1,1,7,3,1,6,7,6,7,1,1,1,1,1,7,1,2,6,6,2,5,6,3
2010,5,1,1,2,6,3,6,2,7,1,7,4,4,3,6,7,7,5,7,5,7,7,7,7,7,3,80,3,4,3,2,6,7,7,1,5,2,7,6,6,3,4,2,1,7,7,2,7,7,1,5,4,6,6,1,1,1,1,1,7,3,1,7,4,7
1995,65,1,1,6,6,5,6,5,6,1,5,5,5,2,5,5,6,4,6,6,7,7,7,5,4,5,-77,7,7,7,6,6,6,4,3,6,2,5,3,4,3,4,3,3,3,5,2,4,6,5,5,6,6,7,7,4,5,1,6,3,4,4,4,4,3
1980,125,1,1,7,6,5,6,4,4,4,3,5,5,6,6,6,6,6,4,3,5,3,4,1,2,3,15,5,5,3,7,5,5,3,1,5,2,6,6,5,5,5,1,3,6,7,2,7,4,5,3,6,6,5,6,5,4,1,6,2,7,6,5,5,5
1991,70,1,1,3,2,4,3,3,1,6,2,7,5,3,7,7,4,7,6,1,6,3,5,6,2,5,50,6,5,5,7,7,7,1,1,7,1,4,6,5,5,6,1,2,7,7,1,6,6,1,7,7,6,7,7,6,1,1,7,2,7,7,6,4,5
1981,100,1,1,6,6,6,6,5,5,1,5,3,3,1,7,7,4,7,7,4,4,4,4,5,3,3,10,6,5,6,2,3,3,3,1,2,2,7,6,7,7,6,2,1,5,7,1,7,6,1,7,7,6,7,7,7,2,1,6,2,7,2,6,6,5
1950,250,1,1,5,6,6,6,5,5,3,3,6,6,6,6,6,6,4,3,1,6,5,5,5,2,5,30,4,3,5,5,5,5,2,2,4,2,5,5,6,5,5,2,2,6,5,2,6,6,5,5,6,6,6,6,5,3,1,7,2,7,6,4,4,4
1968,977,1,1,6,7,5,5,6,6,2,4,7,7,6,6,7,7,7,6,2,7,6,7,5,3,5,25,7,6,7,5,5,7,2,1,6,2,5,5,6,5,5,2,2,6,6,2,6,5,3,6,7,6,7,7,6,2,1,6,2,6,4,5,4,4
1972,72,1,1,6,6,5,5,4,4,2,3,4,4,4,5,5,4,5,5,5,3,2,1,4,2,5,2,2,2,2,4,4,2,1,1,4,3,7,5,4,4,5,2,4,4,6,1,6,5,4,6,7,7,7,7,5,2,1,4,6,6,4,8,8,8
1986,30,1,1,4,4,2,8,5,5,1,4,7,7,7,6,5,3,7,6,3,4,3,2,2,2,3,10,2,4,2,5,5,4,2,1,5,2,7,5,6,3,5,1,1,6,6,1,7,3,1,6,7,7,7,7,5,2,1,6,1,7,7,3,3,5
1996,35,1,1,7,7,7,7,7,7,4,7,6,6,4,7,7,7,7,3,5,7,7,7,5,3,5,95,7,7,8,4,5,3,2,2,2,4,5,5,4,3,6,2,2,3,4,3,4,4,2,6,6,6,7,7,7,4,1,3,7,4,2,6,6,5
1972,1200,1,1,6,6,4,5,7,7,1,6,1,3,1,5,6,5,4,6,6,7,2,5,5,1,6,20,6,7,5,2,5,1,5,2,1,1,5,5,2,5,5,2,2,1,7,1,6,4,1,3,6,5,5,5,6,2,1,2,6,5,1,8,8,6
1981,430,1,1,6,6,5,6,5,5,3,5,6,6,6,5,6,5,7,7,2,5,4,5,5,5,3,5,4,4,6,7,7,7,2,2,5,2,5,5,5,5,4,2,3,4,5,1,5,5,2,5,6,6,6,7,6,2,1,7,1,7,7,4,4,3
2010,3,1,1,1,7,2,7,7,7,1,7,2,1,4,7,7,7,7,7,4,7,7,7,7,7,5,-77,7,7,7,7,7,7,1,1,7,1,7,7,7,4,7,1,1,7,7,1,7,7,4,7,4,7,7,7,4,7,1,7,4,7,6,4,4,4
1972,408,1,1,5,5,5,5,6,4,1,3,6,6,6,6,6,2,7,6,1,7,1,4,5,6,5,5,6,5,6,5,4,5,2,1,4,2,6,6,6,5,6,2,2,5,6,1,6,6,2,6,7,6,7,6,7,1,1,7,2,7,7,5,5,6
1973,181,1,2,7,6,5,6,6,7,1,7,4,6,5,6,6,6,6,7,3,5,6,5,6,2,4,20,5,5,5,5,6,6,1,1,5,2,6,6,6,5,5,1,2,7,7,1,7,6,2,7,5,5,7,7,6,3,1,5,6,7,1,5,5,7
1999,627,1,1,4,6,4,6,6,6,2,5,6,6,6,6,6,7,5,7,2,6,5,5,4,5,3,5,4,5,2,7,6,5,2,1,4,2,6,5,6,5,5,2,4,2,6,1,7,3,4,5,7,5,7,7,7,2,1,4,5,5,4,6,6,6
1993,30,2,1,1,4,2,2,6,7,1,4,7,7,4,7,7,6,6,7,6,7,6,7,6,5,5,10,6,7,7,7,7,7,6,1,6,1,5,6,7,5,6,1,5,7,5,1,7,7,2,6,7,7,7,7,6,2,1,6,2,6,6,4,4,5
1990,153,2,1,4,6,4,5,7,7,1,6,6,6,7,7,5,5,7,5,6,5,2,5,4,5,4,2,5,6,5,4,5,2,5,5,5,2,5,5,5,5,5,3,6,3,6,1,7,5,2,6,6,6,6,6,6,2,1,8,8,8,8,6,5,5
1995,59,2,1,2,4,2,4,4,6,2,4,6,6,6,4,6,4,5,5,3,4,3,3,2,2,3,10,2,3,2,4,2,6,4,1,3,4,4,3,4,4,4,2,4,4,6,2,7,4,4,6,6,5,7,5,6,2,1,3,4,3,3,5,5,4
2005,8,2,1,1,4,1,4,6,7,1,6,7,7,5,7,5,1,1,8,8,8,8,8,4,4,5,-77,2,4,1,6,7,1,7,2,4,2,5,5,7,5,6,2,6,7,7,1,4,7,3,5,7,7,7,7,7,4,1,4,2,4,5,5,7,7
2006,130,2,1,3,3,1,3,6,7,2,2,7,6,6,6,5,6,7,6,6,6,7,7,6,6,5,25,7,7,6,7,7,7,2,1,6,2,6,6,6,6,6,1,5,6,6,1,7,7,2,6,7,7,7,7,6,2,1,5,2,5,5,4,4,5
2002,4,2,1,4,4,4,4,4,4,4,4,6,6,5,4,4,4,4,6,2,6,4,5,4,4,5,30,5,6,4,5,6,6,4,1,5,2,5,5,5,5,5,4,5,4,5,6,6,6,2,5,5,5,6,6,4,4,1,7,2,6,5,4,4,4
1990,65,2,1,8,8,8,8,5,6,1,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,6,-77,7,6,8,3,5,5,1,1,3,2,5,5,7,3,4,2,8,8,6,1,7,6,2,6,7,7,7,7,6,1,1,2,6,3,2,4,4,4
1997,12,2,1,1,2,1,1,7,7,1,7,7,7,7,4,4,5,5,6,7,5,5,6,3,6,5,5,1,1,1,7,7,7,7,1,4,5,5,6,6,5,5,1,5,5,6,1,7,7,1,7,7,7,6,4,5,2,1,7,1,4,7,4,4,4
2007,9,2,1,1,2,1,1,7,7,1,4,7,7,4,7,7,7,7,6,7,7,6,5,7,7,6,60,7,6,6,7,7,3,7,1,7,1,7,7,7,7,7,1,7,7,7,1,7,7,1,7,7,7,7,7,6,5,1,7,1,4,6,6,6,5
2006,11,2,1,3,4,3,5,6,7,1,4,3,4,6,6,7,1,7,5,3,6,6,4,4,5,3,100,5,5,2,6,6,3,2,2,6,2,4,4,4,6,5,8,4,5,6,2,6,5,6,5,7,6,6,5,3,4,1,3,2,5,2,1,1,4
2008,27,2,1,4,4,4,4,5,7,2,5,7,7,3,7,7,7,7,7,7,7,7,7,7,7,3,0,7,7,7,4,7,7,3,2,4,1,7,7,7,7,7,1,7,7,7,1,7,7,1,7,7,7,7,7,7,1,1,7,1,6,6,6,6,6
2000,5,2,1,3,4,4,4,4,5,3,4,7,4,5,3,5,6,6,6,4,4,3,2,2,3,1,0,3,2,2,2,4,2,4,4,5,4,5,4,4,5,5,2,6,5,6,1,6,6,4,6,6,7,7,7,5,4,1,4,4,4,4,4,5,3
2007,6,2,1,4,4,4,4,6,6,2,5,6,6,5,7,7,7,7,7,7,7,7,7,7,7,3,-77,5,5,5,5,6,6,2,2,6,2,6,7,7,7,6,1,7,6,6,1,6,6,2,7,7,7,7,7,7,4,1,5,3,5,5,5,5,5
1993,30,2,2,1,4,2,2,6,7,1,4,7,7,4,7,7,6,6,7,6,7,6,7,6,5,5,10,6,7,7,7,7,7,6,1,6,1,5,6,7,5,6,1,5,7,5,1,7,7,2,6,7,7,7,7,6,2,1,6,2,6,6,4,4,5
1924,120,2,2,6,6,8,5,7,5,2,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,5,10,6,7,7,7,6,7,3,1,6,1,7,7,7,7,7,1,7,7,7,1,7,7,1,6,7,7,7,7,6,1,1,7,4,6,6,5,5,5
2000,15,2,2,1,3,1,2,5,7,2,5,7,6,7,6,6,6,3,6,6,6,6,6,4,3,2,10,5,6,2,7,4,6,1,1,2,2,6,6,5,6,6,1,6,6,5,1,6,6,5,6,7,7,2,1,1,1,1,6,5,5,2,3,4,4
1919,2200,2,2,4,4,2,3,2,5,1,2,4,6,8,6,7,6,8,5,1,6,5,5,4,8,1,0,2,6,1,5,5,7,3,4,1,4,4,4,5,6,4,2,4,4,6,3,3,3,8,4,6,6,6,6,6,2,1,7,1,5,8,8,8,8
1997,5,2,2,7,7,7,7,7,7,1,3,7,2,3,8,8,8,8,8,8,8,8,8,8,8,6,0,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,2,7,7,7,7,7,7,7,3,7,1,7,7,8,8,8
2001,170,2,2,1,5,8,2,6,5,7,1,6,3,3,5,6,6,7,6,6,5,2,2,2,2,3,30,5,6,1,5,4,6,5,1,5,2,4,4,5,7,6,2,6,6,6,2,7,6,2,7,6,6,6,6,5,2,1,1,7,1,1,4,4,4
1935,114,2,2,1,4,1,4,6,5,5,6,7,7,7,3,7,6,8,6,7,5,4,2,2,3,1,0,5,5,1,4,6,6,2,2,5,4,4,4,3,5,5,2,5,6,6,1,7,7,1,3,5,6,7,7,4,4,1,4,7,3,1,1,4,2
1991,58,2,2,3,4,2,3,7,6,2,5,7,6,6,6,4,6,2,6,7,7,6,7,5,5,5,40,4,6,4,3,5,7,3,1,5,3,5,4,6,6,5,2,6,5,6,1,4,6,3,3,6,5,6,6,5,4,1,7,1,7,6,4,4,5
2005,8,2,2,1,4,1,5,1,4,2,6,7,7,7,4,4,3,3,5,6,4,6,5,4,4,5,70,3,3,1,7,7,6,1,1,6,6,4,3,4,3,3,3,5,7,6,1,7,8,4,6,5,5,5,5,5,5,1,7,1,7,6,5,4,4
1991,85,2,2,6,3,4,3,3,6,1,4,7,6,7,4,5,4,1,7,7,6,5,7,4,5,5,3,4,3,2,3,4,7,2,1,5,5,3,3,5,3,3,3,5,5,4,1,6,6,6,3,3,3,7,7,2,6,1,7,7,3,1,2,4,2
1995,12,2,2,2,5,3,5,6,5,3,2,2,2,2,3,5,5,8,5,7,4,5,6,2,2,4,1,1,2,1,1,5,1,3,5,5,4,5,3,2,2,2,6,5,1,2,1,5,6,2,4,4,3,1,1,6,1,1,7,3,2,3,4,4,4
1990,85,2,2,4,4,4,4,5,5,2,3,6,6,6,7,7,7,4,7,5,7,5,5,3,3,5,10,7,6,6,4,5,4,5,2,7,3,4,5,5,4,5,2,5,4,4,2,6,7,3,4,7,6,5,5,5,2,1,7,1,5,5,8,8,8
1952,160,2,2,5,6,3,5,3,6,2,5,7,6,3,3,5,4,8,3,5,3,2,1,3,3,5,15,1,1,1,2,4,2,5,5,1,4,4,4,4,4,4,2,3,5,5,1,7,5,1,6,7,7,7,7,6,2,1,7,4,4,2,8,8,8
1993,7,3,2,6,6,5,6,6,5,2,4,3,6,3,7,6,7,8,6,1,6,5,6,6,4,4,-77,8,8,8,6,6,7,2,1,6,1,7,6,6,7,7,1,1,6,6,2,7,6,4,5,5,6,5,6,5,4,1,6,1,7,7,8,8,8
1992,25,3,2,3,5,3,7,6,6,1,7,2,7,4,7,7,6,6,7,2,7,2,5,5,3,4,30,6,6,6,6,6,5,1,1,6,1,7,6,6,6,7,1,1,7,7,1,6,7,1,6,7,7,7,7,6,2,1,7,1,7,6,6,6,6
1992,22,3,2,6,6,4,6,5,6,2,4,5,2,4,6,7,6,7,7,2,6,6,6,5,5,4,-77,7,7,6,6,5,4,1,4,6,2,6,7,6,6,6,6,1,6,7,1,7,7,2,7,6,6,6,7,6,2,1,8,8,8,8,8,8,8
1996,14,3,2,5,5,4,5,7,6,1,6,5,7,6,6,7,7,6,7,2,6,6,2,5,4,4,-77,5,5,6,6,6,5,1,1,6,1,6,6,5,6,7,1,1,6,7,1,6,7,3,6,6,6,6,5,5,2,2,7,5,6,4,8,8,8
1992,25,3,2,6,6,4,6,5,6,2,4,5,2,4,6,7,6,7,7,2,6,6,6,5,5,4,-77,7,7,6,6,5,4,1,4,6,2,6,7,6,6,6,6,1,6,7,1,7,7,2,7,6,6,6,7,6,2,1,8,8,8,8,8,8,8
1996,5,3,2,4,3,5,6,7,6,1,5,5,7,6,6,5,2,6,4,1,6,1,2,7,6,4,-77,3,2,2,6,6,6,2,1,3,2,6,6,6,4,6,1,1,7,6,1,6,6,3,6,5,6,5,5,5,5,1,7,1,7,7,4,4,5
1990,125,3,2,5,7,5,6,7,7,1,6,7,6,5,7,7,6,7,7,2,6,6,5,7,3,4,-77,7,7,6,6,7,7,2,2,6,2,6,7,7,7,7,1,1,7,7,1,7,7,1,7,7,7,7,7,7,2,1,7,4,7,6,8,8,8
2009,4,3,2,6,6,5,6,6,7,1,6,6,5,6,7,6,6,7,6,2,4,5,6,4,4,4,-77,4,3,3,7,7,7,2,2,6,1,7,6,7,6,6,1,1,6,7,2,7,6,2,6,7,7,6,7,6,2,1,7,1,7,7,8,8,8
