CD3,CD4,CD5,CL_NR,TR1,TR2,TR3,TR4,DI1,DI2,DI3,DI4,EC1,EC2,EC3,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10,IP11,IP13,IP14,PI1,PI2,PI3,CI1,CI2,CI3,CI4,CI5,CI6,CI7,CI8,CI9,TI1,TI2,TI3,TI4,TI5,TI6,TI7,TI8,TI9,TI10,TI11,TI12,BS1,BS2,BS3,BS4,BS5,BS6,CM0,CM1,CM2,CM3,CM4,FP1,FP2,FP3
1999,15,3,2,6,7,5,7,6,6,2,6,5,5,7,7,7,7,6,6,3,7,6,6,6,5,5,60,5,6,5,5,7,2,3,1,3,2,6,5,5,4,3,3,3,3,6,1,5,6,1,6,7,5,7,7,6,5,1,7,1,7,7,5,5,5
2011,6,3,2,6,6,5,6,7,6,1,7,5,7,7,7,7,5,6,6,2,3,5,2,7,5,3,-77,3,3,3,7,6,6,2,2,6,2,6,6,6,6,7,1,1,7,7,2,7,6,3,6,7,6,7,6,6,3,1,6,7,7,6,8,8,8
1990,1,3,2,5,5,6,6,6,6,2,6,6,5,7,5,6,5,4,3,1,4,5,1,6,3,4,-77,2,3,1,6,6,3,2,1,5,3,5,4,5,5,5,4,2,5,4,1,6,5,5,5,5,3,6,4,5,6,1,8,8,8,8,8,8,8
2004,64,3,2,6,6,5,6,6,5,2,3,3,6,3,7,6,6,8,6,2,5,6,6,5,4,4,-77,8,8,8,6,6,6,2,2,6,2,6,6,6,6,6,2,2,5,6,2,6,6,4,5,5,5,6,6,4,4,1,6,2,6,6,8,8,8
2009,2,3,2,5,6,5,5,5,6,1,6,5,7,7,6,5,7,6,5,6,6,4,4,6,4,3,-77,2,4,2,5,4,5,1,1,7,1,6,5,6,6,7,1,1,5,7,1,7,6,2,6,6,6,5,5,6,5,1,7,1,7,7,8,8,8
1992,28,3,2,6,6,4,6,5,6,2,4,5,2,4,6,7,6,7,7,2,6,6,6,5,5,4,-77,7,7,6,6,5,4,1,4,6,2,6,7,6,6,6,6,1,6,7,1,7,7,2,7,6,6,6,7,6,2,1,8,8,8,8,8,8,8
1993,20,3,2,6,6,4,6,5,6,2,4,5,2,4,6,7,6,7,7,2,6,6,6,5,5,4,-77,7,7,6,6,5,4,1,4,6,2,6,7,6,6,6,6,1,6,7,1,7,7,2,7,6,6,6,7,6,2,1,8,8,8,8,8,8,8
1990,37,3,1,5,5,4,6,6,5,2,6,4,3,4,6,6,4,2,5,2,4,4,5,5,6,3,40,4,4,6,5,6,6,3,2,6,2,7,6,6,3,5,2,2,4,5,1,5,6,2,6,7,6,5,6,6,2,1,6,2,7,6,4,8,5
1993,107,3,1,4,6,3,3,6,3,6,3,6,6,5,6,6,6,4,6,6,3,5,1,3,3,5,23,3,3,4,6,6,3,6,2,5,2,6,6,6,6,4,2,2,5,6,1,7,6,3,6,6,6,7,7,7,2,1,5,6,2,2,5,5,4
1921,9,3,1,5,6,1,4,3,3,5,3,6,6,6,5,6,5,6,3,2,2,2,4,2,2,3,9,4,2,2,3,2,2,2,4,3,2,5,6,5,4,4,7,2,5,7,1,7,6,3,6,4,7,4,5,4,2,3,8,8,8,8,3,3,3
1990,30,3,1,4,5,4,6,6,6,2,6,6,6,5,6,6,6,5,5,2,3,3,3,6,3,5,50,4,4,6,4,4,5,2,2,6,2,6,5,5,6,6,2,2,5,5,2,5,6,2,6,6,6,6,6,5,5,3,8,8,8,8,3,3,4
1990,10,3,1,6,6,5,6,7,7,2,6,6,5,6,6,7,6,5,4,4,6,4,2,3,3,5,75,7,3,6,7,6,5,1,1,7,2,6,5,6,6,7,1,1,5,4,1,7,6,3,6,5,6,4,5,5,3,1,6,2,4,4,3,4,4
1991,28,3,1,6,6,1,6,6,7,1,5,7,6,6,6,6,5,5,6,3,5,6,5,6,4,3,10,3,5,4,6,6,1,2,2,5,2,6,4,5,4,5,2,2,3,6,1,7,5,2,6,6,6,5,5,6,2,3,8,8,8,8,3,3,4
1996,25,3,1,5,5,6,6,6,6,2,3,3,2,2,3,5,5,6,6,6,2,2,2,3,6,3,10,3,3,3,4,3,2,2,2,2,1,6,6,3,3,6,2,2,3,7,1,6,6,2,6,5,6,6,6,6,2,3,8,8,8,8,3,3,6
2006,34,3,1,6,6,3,6,2,2,5,2,4,5,6,5,5,5,6,3,1,3,1,4,5,3,3,10,2,2,2,6,6,5,2,2,5,2,6,6,5,6,5,2,1,3,6,1,7,5,2,6,6,5,6,7,6,3,1,6,5,6,6,3,3,6
2010,15,3,1,5,6,2,6,4,2,7,5,3,3,3,5,5,5,7,6,6,2,1,6,6,4,3,4,1,4,1,5,6,1,5,2,1,2,6,6,5,2,4,2,2,1,4,1,5,3,3,6,7,5,7,7,6,2,1,7,2,7,6,4,2,7
1997,14,3,1,5,4,5,6,7,7,1,7,8,5,3,7,7,6,4,5,1,7,7,4,2,3,4,65,1,4,2,3,4,2,6,4,1,1,7,4,5,3,6,4,2,6,4,1,4,6,1,5,6,3,2,2,7,1,3,8,8,8,8,5,6,6
1985,31,3,1,6,5,4,5,7,6,1,6,6,6,4,6,6,6,5,3,2,7,5,5,4,5,5,30,4,3,5,5,6,4,3,2,6,2,6,6,6,6,6,2,2,6,5,1,5,5,2,6,6,5,6,6,5,3,3,8,8,8,8,2,2,4
1992,21,3,1,6,7,5,5,5,3,6,2,6,7,6,6,6,6,6,5,3,3,3,2,5,4,5,5,2,3,2,2,4,4,3,2,4,2,6,5,5,5,5,2,2,3,7,2,7,6,3,6,6,6,6,7,6,2,1,6,2,6,5,3,3,4
1991,10,3,1,2,6,1,6,6,6,1,4,6,6,4,4,7,7,3,2,1,6,4,3,6,4,5,20,3,2,2,5,4,1,2,2,2,2,6,6,6,4,5,2,4,3,3,1,6,4,2,5,2,2,4,6,6,1,2,8,8,8,8,3,4,4
1996,180,3,1,4,5,4,5,6,7,1,6,3,4,7,6,6,6,6,6,4,6,5,5,4,4,5,20,5,4,6,6,5,5,3,1,6,3,4,5,5,3,4,1,2,5,6,1,6,4,2,4,5,3,6,5,5,3,3,6,8,8,8,3,3,4
1991,86,3,1,4,4,2,3,2,7,1,6,7,7,7,5,5,5,5,6,2,5,7,7,6,3,3,10,7,4,4,4,5,5,6,2,6,2,5,5,5,6,5,2,3,6,6,2,6,6,6,5,6,6,6,6,6,2,1,6,2,6,6,4,4,4
1990,70,3,1,4,6,1,7,3,5,1,4,6,6,7,6,6,6,5,3,2,5,4,6,5,2,5,40,5,5,5,5,6,4,2,1,3,2,5,5,5,6,6,3,3,5,7,1,6,5,5,5,5,6,6,6,6,2,2,8,8,8,8,3,3,2
1998,450,3,1,5,5,3,5,2,6,1,5,6,6,5,5,5,4,7,5,2,5,5,2,4,2,5,10,6,6,6,4,5,5,4,2,6,1,5,5,3,5,5,2,2,6,6,2,6,6,4,6,3,5,6,6,4,4,1,6,3,4,4,5,5,5
1996,8,3,1,5,6,4,5,5,7,1,6,6,7,7,6,5,4,6,5,1,4,5,4,5,5,6,-77,2,5,4,5,5,4,2,1,4,2,6,6,6,5,6,1,1,6,7,1,7,6,5,7,5,6,5,5,5,3,2,8,6,4,2,8,8,8
1990,10,3,2,5,5,4,5,6,7,1,5,6,7,7,7,6,6,7,6,4,6,6,5,6,6,6,-77,6,5,5,7,7,6,1,1,6,1,7,7,6,6,6,1,2,6,7,1,7,7,3,7,6,6,6,5,6,2,2,2,3,4,3,8,8,8
1990,6,3,2,6,6,6,6,7,7,1,6,6,6,5,7,7,7,6,7,3,7,6,4,6,6,6,-77,5,5,5,7,6,7,2,2,7,2,6,7,7,7,6,2,2,6,7,1,7,6,2,6,6,6,6,6,6,2,1,7,1,7,7,8,8,8
1999,4,3,2,5,5,4,5,6,6,2,6,5,7,6,7,6,7,6,6,3,5,6,5,6,5,6,-77,6,7,6,6,5,4,1,1,6,1,7,7,6,6,6,1,2,6,7,1,7,7,3,6,6,6,6,6,6,2,2,6,2,4,2,8,8,8
1990,7,3,2,6,6,5,6,6,6,2,5,5,7,6,6,6,7,6,6,3,6,5,5,6,5,6,-77,6,7,6,6,5,4,1,1,5,1,7,7,5,6,6,1,2,6,7,1,7,7,3,6,6,6,6,6,6,2,2,6,2,4,2,8,8,8
1991,25,3,2,5,5,4,5,6,6,2,6,5,7,6,7,6,7,6,6,3,5,6,5,6,5,6,-77,6,7,6,6,5,4,1,1,6,1,7,7,6,6,6,1,2,6,7,1,7,7,3,6,6,6,6,6,6,2,1,7,1,7,7,8,8,8
1991,3,3,2,5,5,4,5,4,6,1,6,6,7,7,7,6,5,6,5,2,6,6,5,6,6,6,-77,2,2,2,5,6,5,3,6,5,1,7,6,6,5,6,1,1,6,6,1,7,6,5,6,5,6,5,7,6,2,3,8,8,8,8,8,8,8
1991,10,3,2,5,6,4,5,4,6,2,4,6,7,7,5,6,5,5,5,2,4,4,3,2,4,6,-77,2,3,5,3,5,3,2,2,3,2,6,6,4,5,5,2,2,5,6,2,7,6,4,6,7,6,5,5,6,2,2,2,6,4,2,8,8,8
1990,50,3,1,6,6,6,6,3,5,4,3,5,4,5,5,4,3,8,5,5,3,2,3,2,2,3,10,8,4,1,4,4,4,2,2,6,3,5,4,3,4,3,1,2,4,4,1,5,5,3,6,3,4,5,5,4,5,2,6,2,5,5,3,3,3
1990,200,3,1,5,5,2,5,3,6,6,2,7,7,7,6,6,6,7,7,6,6,2,6,6,2,3,10,3,3,7,6,6,7,2,1,6,6,6,6,7,7,6,1,2,6,7,1,7,6,2,7,6,6,5,6,5,5,1,6,6,6,6,5,5,3
1992,130,3,1,5,5,4,6,5,5,4,4,7,7,7,7,6,6,6,6,3,4,4,4,6,4,3,5,5,5,5,4,6,6,1,1,5,2,7,7,7,7,6,1,1,6,7,1,7,5,4,6,7,5,6,6,6,2,2,1,7,8,8,8,8,8
2011,2,4,1,3,6,1,4,5,4,7,4,6,4,4,2,7,2,7,7,7,2,2,2,2,2,5,100,2,2,1,4,6,6,6,2,1,6,6,6,6,6,6,4,1,4,7,1,7,7,2,7,2,2,2,2,2,6,1,4,2,4,7,8,8,8
1990,320,4,1,6,3,1,5,7,4,7,5,3,6,6,1,6,6,7,2,4,2,2,3,3,1,5,40,1,1,1,6,2,1,1,6,2,7,3,3,3,6,6,2,5,7,7,1,6,6,7,7,1,1,6,6,7,7,1,1,6,5,2,6,7,7
2004,40,4,1,7,5,5,7,4,3,7,3,4,4,7,2,2,1,6,2,2,1,1,1,1,1,5,30,1,1,1,5,1,1,1,1,1,4,8,6,2,6,6,6,8,5,7,1,7,7,6,6,1,1,1,1,1,7,1,5,5,6,5,2,3,2
2010,19,4,1,3,3,3,3,6,6,2,2,3,3,6,4,4,1,4,6,6,1,1,1,3,4,1,0,1,1,1,3,3,1,3,3,2,5,5,5,3,3,2,4,4,1,5,1,6,5,2,4,1,3,1,1,1,1,1,2,4,3,3,6,4,6
1998,1,4,1,3,4,2,4,5,2,2,5,5,4,5,5,4,4,5,6,3,6,6,3,3,3,4,40,3,3,2,1,4,3,2,2,2,4,5,4,4,4,4,4,4,2,6,1,6,5,4,6,2,3,3,3,6,2,1,4,4,6,6,5,6,7
1951,100,4,1,2,5,3,5,2,6,2,5,7,5,6,5,6,6,5,6,5,5,6,4,5,2,5,7,2,2,2,5,6,4,1,1,3,2,4,5,5,5,4,2,3,4,5,1,5,5,4,3,5,5,6,6,6,5,1,7,2,5,5,5,5,5
2009,4,4,1,3,4,3,4,4,6,1,5,7,5,6,6,5,5,5,6,4,5,5,3,5,4,5,40,3,4,1,5,5,4,4,3,3,4,5,4,6,6,5,5,5,3,4,1,5,6,3,5,7,7,7,6,6,7,1,7,1,6,7,5,5,6
2007,8,4,1,4,7,3,5,5,5,1,5,4,6,7,7,7,4,7,7,7,7,7,7,7,7,3,0,6,6,4,7,7,7,1,1,7,4,6,7,7,7,7,1,1,7,7,2,7,7,7,7,5,5,5,7,4,4,1,6,8,4,4,3,5,5
2010,19,4,2,5,3,2,6,7,5,3,6,5,4,6,3,4,2,6,7,7,4,7,1,3,1,5,99,1,1,1,1,5,7,7,7,5,1,6,6,4,2,6,4,4,5,7,1,7,4,1,3,2,2,5,4,5,2,1,7,1,7,6,5,5,4
1954,105,4,1,4,6,3,6,5,6,1,6,6,4,5,5,6,6,6,7,7,5,5,3,4,4,5,100,4,3,3,6,5,3,1,1,6,4,4,5,4,5,6,3,4,2,4,1,5,5,6,5,7,7,7,7,5,7,1,7,5,7,5,4,5,4
2000,4,4,2,3,3,3,3,5,5,7,2,3,3,7,4,7,7,4,6,5,7,7,5,5,7,3,0,2,3,1,4,1,1,1,2,1,4,3,3,7,7,5,1,4,7,6,1,3,4,2,3,3,3,1,1,2,7,2,8,8,8,8,4,6,5
1998,25,4,2,4,5,2,5,6,4,2,4,5,5,7,2,3,3,4,2,2,4,4,4,2,5,4,40,4,4,2,2,6,2,6,6,2,3,3,5,6,5,4,1,4,2,4,3,2,3,4,4,2,2,2,2,4,4,2,8,8,8,8,5,5,5
1993,150,4,2,4,3,4,3,6,4,1,2,6,5,6,7,7,6,6,7,6,7,5,4,4,6,4,0,6,5,7,6,4,5,2,2,7,1,7,7,7,7,6,1,1,6,7,1,7,7,2,6,6,7,7,7,7,1,1,7,1,7,7,5,5,5
1992,30,4,2,1,1,1,1,4,4,6,3,7,7,4,6,6,5,5,5,3,6,3,3,3,3,4,20,6,3,5,5,2,3,7,7,2,4,6,4,4,2,4,7,4,1,6,4,5,4,4,3,6,3,2,3,5,6,1,5,4,4,4,4,4,4
2006,22,4,2,5,7,1,4,6,6,1,1,7,7,7,7,7,7,7,7,5,7,7,8,4,1,4,35,2,6,1,7,1,7,1,7,5,7,7,7,7,5,7,7,1,6,7,1,7,7,7,7,7,6,4,7,6,7,1,5,3,7,4,5,5,7
1992,173,4,2,4,5,3,5,6,6,2,5,6,6,6,5,6,6,6,6,4,6,6,6,5,4,4,2,3,3,3,6,2,2,3,5,2,4,5,4,5,5,5,3,3,2,6,2,6,6,2,5,6,5,6,6,6,2,1,6,2,6,6,7,6,5
1956,350,4,2,7,7,4,7,7,7,7,2,7,7,7,6,6,5,6,7,7,7,6,4,6,7,6,0,6,7,7,7,7,7,1,1,7,5,7,7,7,7,7,1,1,8,7,1,7,7,1,7,7,5,7,6,7,7,1,1,7,4,4,5,5,5
2009,564,4,2,3,1,1,7,6,4,3,4,7,7,7,7,4,5,5,6,3,2,4,3,2,6,4,30,1,5,1,4,2,1,7,7,4,4,7,7,7,7,7,1,3,5,7,1,7,7,6,4,7,5,7,7,4,7,1,1,6,4,2,4,3,4
2004,6,4,2,7,5,2,6,7,7,6,6,7,7,7,7,5,4,8,7,7,4,2,3,4,2,4,60,3,3,8,1,1,1,7,7,2,4,5,3,3,4,4,6,4,6,5,1,7,6,5,7,2,3,4,6,4,5,1,1,1,7,1,7,6,6
2006,110,4,2,4,1,1,6,7,7,1,5,6,6,6,7,7,7,7,7,1,7,7,1,7,7,4,20,4,7,4,7,4,7,7,1,1,1,7,7,7,7,7,1,1,7,7,1,7,7,4,7,7,7,7,7,7,7,2,8,8,8,8,6,6,6
2000,127,4,2,5,5,4,8,7,6,4,6,6,7,7,5,6,6,5,4,5,5,3,3,5,4,4,0,5,4,4,3,4,2,7,3,6,2,4,5,4,4,4,2,2,6,5,1,6,6,4,5,5,5,5,5,4,5,1,6,5,3,3,5,5,4
2004,42,4,2,4,4,2,4,6,4,3,2,5,4,3,6,6,6,6,6,5,5,6,5,5,6,4,0,5,6,6,6,6,5,2,1,5,5,6,6,6,6,6,2,2,6,6,1,6,6,5,6,4,4,6,6,6,2,1,6,2,6,6,4,5,5
2003,1,4,1,3,3,3,7,4,7,1,1,4,4,7,7,1,1,7,7,7,7,7,7,7,1,5,95,1,1,4,7,7,1,1,1,7,1,7,7,4,4,7,4,1,1,7,1,7,7,1,7,1,1,7,7,7,1,1,7,1,7,7,8,8,8
2007,1,4,1,5,3,3,3,5,7,1,7,5,7,7,6,6,5,7,7,7,7,7,6,6,7,3,5,4,4,1,5,7,7,1,1,6,4,4,4,6,5,7,5,4,4,7,1,7,7,5,7,5,6,4,4,4,5,1,7,1,7,7,5,6,5
2004,22,4,2,6,5,2,5,7,6,6,4,5,4,6,6,6,6,6,7,5,7,6,7,7,6,4,80,5,5,4,6,6,5,5,5,4,2,6,7,6,6,6,2,2,6,7,1,7,6,1,6,7,7,7,7,7,7,1,7,1,7,6,6,5,6
1999,9,4,2,7,7,4,4,7,4,1,4,4,4,7,7,7,7,7,7,4,4,4,4,4,7,1,0,1,7,7,2,2,1,1,1,4,4,7,7,4,7,7,1,1,4,7,1,7,7,4,7,7,7,7,4,4,7,2,8,8,8,8,2,7,4
2000,2,4,2,3,3,2,6,5,4,5,3,7,7,7,6,5,4,6,5,2,2,2,2,3,1,3,0,3,3,5,2,1,2,6,8,1,5,5,5,6,6,6,1,1,4,6,1,7,7,4,7,7,7,4,4,6,6,2,8,8,8,8,5,4,4
1999,37,4,2,7,7,2,7,6,4,2,2,1,4,7,7,7,1,7,7,1,7,4,1,1,5,3,3,2,3,5,4,6,1,4,6,1,4,4,4,3,5,5,4,4,3,4,1,7,6,2,4,4,4,6,7,7,2,1,4,2,5,2,5,5,4
2000,136,4,2,7,4,3,4,7,7,1,7,7,7,7,7,6,7,7,7,4,7,7,7,7,7,3,20,7,7,7,6,6,6,1,1,5,4,6,7,6,7,5,4,4,7,7,1,7,7,7,7,7,7,7,7,7,7,1,1,7,3,3,5,6,5
1996,563,4,2,6,5,5,5,1,1,4,1,1,1,1,4,4,1,6,2,2,2,2,1,1,1,1,0,1,1,6,6,6,2,2,8,5,1,4,4,6,6,6,5,3,6,6,1,6,6,6,6,6,6,7,7,7,2,1,2,6,4,1,5,5,4
2005,25,4,2,5,6,3,4,3,3,5,3,5,6,4,3,4,2,5,3,3,2,3,2,2,3,3,1,5,6,4,2,4,3,6,7,2,4,5,4,3,4,5,2,4,3,6,3,6,5,6,5,2,3,5,6,6,5,1,4,4,5,3,3,3,3
2001,50,4,2,4,4,4,4,5,3,3,3,4,4,4,6,6,6,6,6,5,5,5,5,6,6,3,0,4,4,2,4,5,5,2,2,3,4,5,5,5,4,5,3,3,4,4,2,5,5,2,6,3,3,6,6,5,4,2,8,8,8,8,4,4,4
2001,-66,4,2,3,5,6,7,7,5,1,7,7,7,7,7,7,1,1,5,1,4,4,1,1,7,3,0,1,5,8,7,1,8,1,7,7,1,7,7,7,5,7,1,1,1,7,1,7,7,1,7,5,7,1,8,2,7,1,7,1,8,8,1,4,1
1999,24,4,2,4,4,3,6,7,7,1,7,5,5,5,7,7,7,7,7,7,7,7,7,7,7,3,40,7,7,4,5,7,5,2,2,6,1,7,6,6,6,6,2,2,5,6,1,7,6,2,5,5,5,5,5,5,4,2,8,8,8,8,6,6,6
2006,3,4,2,3,3,2,3,4,4,2,6,6,6,5,5,5,4,4,6,6,4,4,6,4,2,3,15,3,3,3,4,4,2,2,7,2,5,4,4,4,5,5,2,4,3,4,2,6,4,2,6,2,6,2,2,5,2,2,8,8,8,8,6,5,6
1999,36,4,2,7,6,4,4,7,5,1,6,7,7,7,7,7,5,4,7,7,5,4,1,2,5,3,10,1,1,1,1,4,4,6,6,7,3,5,5,2,6,5,2,4,5,6,1,7,6,7,7,4,4,7,7,3,6,2,8,8,8,8,3,2,1
2010,15,4,1,4,7,3,5,5,5,1,5,4,6,7,7,7,4,7,7,7,7,7,7,7,7,3,0,4,4,4,7,7,7,1,1,7,1,7,7,7,7,7,1,1,7,7,2,7,7,7,7,5,5,5,7,4,4,1,6,1,5,5,3,4,5
2001,6,4,1,3,5,1,6,4,6,5,4,6,6,6,6,7,5,6,6,1,3,2,1,4,5,5,40,1,1,1,3,4,4,1,1,2,2,6,6,5,5,4,5,4,4,6,1,7,6,4,4,5,5,3,4,4,4,1,7,1,7,7,2,1,5
1937,50,4,1,7,4,2,6,5,6,7,5,4,5,4,5,4,3,6,5,2,5,5,2,5,3,5,0,2,2,8,4,5,4,2,8,8,8,8,8,5,4,5,5,4,5,5,1,6,5,3,5,4,5,6,6,7,2,1,7,6,6,6,6,5,7
1992,35,4,1,7,4,1,4,2,2,7,2,6,5,7,5,1,7,7,6,1,3,1,1,4,5,2,0,1,1,1,4,4,4,5,4,4,4,4,4,4,7,4,2,4,7,7,1,7,7,7,6,1,7,7,7,6,2,1,6,7,5,4,5,5,4
2004,32,4,1,4,3,1,3,6,4,7,6,4,7,7,7,6,3,7,7,7,6,6,6,6,6,5,50,1,4,2,5,6,5,4,4,1,1,7,7,7,7,7,1,5,6,7,1,7,7,1,7,3,7,7,7,7,3,1,2,6,4,5,5,5,5
1988,30,5,1,2,4,2,4,7,7,1,6,7,6,7,7,7,7,7,7,7,7,7,6,7,5,3,0,7,7,7,4,6,6,3,1,6,4,6,6,7,4,4,5,6,5,4,2,4,4,2,4,5,6,3,3,6,3,1,7,7,7,7,6,6,6
1980,2,5,1,4,4,4,6,6,6,2,5,5,5,3,6,6,6,7,6,5,6,6,5,6,2,3,0,6,6,6,3,3,3,6,4,7,2,5,6,6,2,4,2,6,1,5,4,6,6,2,4,2,5,2,2,2,2,1,4,4,2,2,5,4,5
1989,25,5,1,3,4,3,4,4,6,2,4,6,6,6,6,6,6,6,6,6,4,4,3,4,3,2,0,6,6,2,4,5,4,2,2,4,2,6,4,6,2,4,2,6,2,5,6,6,6,5,6,6,6,6,6,6,5,1,3,3,4,2,4,4,4
1992,9,5,1,4,4,6,6,2,2,6,2,6,6,7,5,2,2,3,6,5,2,2,2,2,2,1,0,2,2,2,2,2,2,5,6,2,4,2,2,2,3,3,1,4,1,6,2,6,4,6,6,2,2,2,2,2,4,1,4,4,4,2,4,4,4
1964,13,5,1,4,4,2,5,6,6,2,6,3,3,3,6,7,6,5,6,6,5,4,4,6,6,1,0,4,4,6,2,4,2,5,3,2,4,4,4,4,2,4,6,5,2,5,4,5,4,2,5,4,2,2,3,5,5,1,2,3,3,3,4,4,4
1992,5,5,1,6,6,6,6,5,6,2,3,4,5,6,5,6,6,6,5,6,6,5,4,4,2,1,0,4,5,1,1,2,1,4,4,1,4,4,4,4,2,4,6,6,1,6,4,6,6,4,5,2,4,1,1,1,1,1,3,6,2,2,5,5,5
1970,20,5,1,4,4,2,5,3,3,3,3,5,5,7,6,6,6,6,6,5,4,4,5,4,4,3,10,6,7,5,3,6,3,4,5,3,6,6,4,5,3,6,2,6,3,6,2,6,6,5,6,7,6,7,7,5,5,1,2,6,2,2,4,4,4
1970,4,5,1,4,4,2,5,6,6,6,5,5,5,4,6,6,6,4,6,3,6,6,6,6,3,2,8,4,4,6,6,4,6,4,2,2,2,6,6,6,2,2,2,2,6,6,2,7,6,2,6,6,4,6,6,5,6,2,2,6,2,2,4,5,4
2000,2,5,1,3,3,7,4,1,6,3,3,6,6,4,2,2,2,3,3,5,5,2,2,2,2,1,0,2,2,2,2,4,2,6,6,2,6,3,3,2,2,4,4,2,2,2,2,6,5,7,5,2,6,2,2,2,6,1,1,6,2,2,2,2,2
1983,80,5,1,3,3,3,6,6,6,3,4,6,6,6,4,4,5,5,6,4,6,6,6,6,3,2,12,5,5,5,3,6,4,4,2,2,3,4,4,6,4,6,4,4,3,6,2,6,5,5,6,6,5,6,6,6,4,1,3,6,4,3,5,5,5
